cpu_usage,memory_usage,latency,packet_loss,bandwidth,device_type,location,health_status
53,51,110,3.2,55,Firewall,HQ,Critical
79,19,95,3.27,71,Router,Datacenter,Critical
79,54,90,1.62,55,Router,Branch Office,Warning
44,58,57,4.11,95,Switch,Branch Office,Critical
43,39,87,1.31,96,Firewall,Branch Office,Warning
72,37,48,3.41,44,Firewall,HQ,Critical
95,42,107,4.13,77,Firewall,HQ,Critical
50,48,83,1.41,44,Firewall,Branch Office,Warning
18,76,4,1.57,55,Switch,Datacenter,Warning
10,51,47,2.57,19,Firewall,Datacenter,Warning
71,56,63,1.37,88,Switch,Datacenter,Warning
59,46,10,3.99,39,Router,Branch Office,Critical
34,52,105,3.21,94,Router,Branch Office,Critical
66,32,83,3.97,90,Switch,Datacenter,Critical
27,22,91,2.96,66,Switch,HQ,Critical
98,67,20,0.23,48,Switch,HQ,Critical
74,30,53,1.04,43,Firewall,Datacenter,Warning
89,71,107,2.89,57,Router,HQ,Critical
44,75,16,3.09,47,Router,Branch Office,Critical
73,28,84,0.85,36,Firewall,Datacenter,Warning
46,84,45,3.72,25,Switch,Branch Office,Critical
30,22,105,1.09,25,Router,HQ,Critical
58,65,97,4.01,23,Switch,Branch Office,Critical
32,88,85,2.98,85,Switch,HQ,Warning
70,44,73,4.8,21,Router,HQ,Critical
28,73,64,3.25,65,Switch,HQ,Critical
5,42,32,3.56,17,Router,Branch Office,Critical
21,57,88,4.4,20,Router,Datacenter,Critical
74,38,71,4.26,77,Router,Branch Office,Critical
92,71,41,1.81,13,Router,Branch Office,Critical
61,32,94,2.3,85,Firewall,HQ,Critical
33,47,76,1.72,43,Router,Branch Office,Warning
18,38,29,2.5,73,Switch,Datacenter,Warning
45,65,60,1.0,96,Switch,Branch Office,Healthy
37,11,28,0.08,91,Switch,Branch Office,Healthy
77,56,88,2.96,11,Firewall,HQ,Warning
31,92,19,4.59,81,Switch,Datacenter,Critical
73,29,62,1.19,25,Switch,Branch Office,Warning
67,44,19,4.56,55,Firewall,Datacenter,Critical
40,63,75,1.24,20,Firewall,Branch Office,Warning
86,87,117,0.19,34,Router,Datacenter,Critical
94,83,106,0.4,40,Firewall,Branch Office,Critical
56,61,20,1.75,17,Router,HQ,Warning
42,24,110,0.21,39,Firewall,Datacenter,Critical
34,16,52,0.61,37,Router,Branch Office,Healthy
56,33,19,0.95,89,Switch,HQ,Healthy
51,63,52,3.0,16,Firewall,HQ,Warning
58,25,21,3.39,43,Switch,HQ,Critical
8,48,54,3.89,48,Firewall,Datacenter,Critical
81,79,12,3.96,83,Switch,Datacenter,Critical
75,80,44,2.25,42,Switch,Datacenter,Warning
84,61,92,4.95,92,Router,Branch Office,Critical
97,56,52,4.44,39,Switch,Datacenter,Critical
49,70,118,3.91,13,Switch,Branch Office,Critical
7,73,35,4.06,46,Router,Branch Office,Critical
73,38,30,0.92,62,Firewall,Branch Office,Warning
88,88,93,4.81,41,Switch,Datacenter,Critical
31,79,37,2.3,73,Switch,HQ,Warning
11,83,13,4.7,60,Router,Datacenter,Critical
58,57,81,0.32,74,Router,HQ,Warning
23,19,89,1.98,95,Switch,Branch Office,Warning
78,84,12,0.48,65,Router,Branch Office,Warning
18,15,93,4.73,63,Switch,HQ,Critical
13,28,76,1.49,80,Switch,HQ,Warning
12,92,39,2.76,32,Firewall,Datacenter,Critical
97,26,58,4.08,99,Router,Branch Office,Critical
66,33,76,0.98,64,Switch,HQ,Warning
5,31,20,3.2,18,Firewall,Branch Office,Critical
39,16,62,1.66,69,Firewall,Branch Office,Warning
49,57,75,4.74,16,Switch,Datacenter,Critical
29,36,15,0.47,59,Router,Datacenter,Healthy
44,62,4,0.03,67,Switch,Branch Office,Healthy
6,72,29,0.3,62,Firewall,Datacenter,Warning
42,71,77,2.35,32,Switch,Branch Office,Warning
17,87,24,2.46,94,Firewall,HQ,Warning
15,35,96,0.99,53,Switch,Branch Office,Critical
19,37,120,4.67,29,Firewall,Branch Office,Critical
81,85,70,4.81,33,Switch,Datacenter,Critical
69,11,37,0.25,69,Firewall,HQ,Warning
24,94,56,0.12,17,Switch,HQ,Critical
42,15,24,4.87,57,Switch,Branch Office,Critical
86,44,114,4.62,57,Firewall,Datacenter,Critical
82,65,22,3.49,10,Switch,Datacenter,Critical
41,40,50,0.88,41,Switch,HQ,Healthy
68,93,115,1.45,32,Switch,Datacenter,Critical
14,72,53,0.39,82,Firewall,HQ,Warning
40,24,52,0.06,88,Firewall,Branch Office,Healthy
67,83,51,1.61,11,Firewall,Datacenter,Warning
40,85,9,4.17,24,Router,Branch Office,Critical
21,11,73,2.14,62,Firewall,Datacenter,Warning
13,18,54,1.05,16,Firewall,HQ,Warning
29,53,54,0.19,100,Firewall,HQ,Healthy
42,66,75,4.24,80,Router,Branch Office,Critical
16,43,86,4.01,55,Switch,Branch Office,Critical
48,50,97,1.13,38,Router,Datacenter,Critical
12,54,82,3.27,53,Switch,HQ,Critical
26,89,63,4.84,73,Firewall,Branch Office,Critical
93,22,99,4.84,43,Firewall,HQ,Critical
74,45,72,1.19,95,Router,Branch Office,Warning
83,69,50,2.14,46,Switch,Datacenter,Warning
60,91,12,0.96,60,Router,Datacenter,Critical
14,68,35,0.31,44,Router,Datacenter,Healthy
61,43,69,4.57,18,Switch,Branch Office,Critical
7,14,1,3.1,84,Switch,Branch Office,Critical
42,90,10,0.85,70,Router,Datacenter,Warning
14,49,55,3.11,31,Router,Branch Office,Critical
79,76,16,3.85,39,Switch,Datacenter,Critical
40,17,45,2.83,97,Firewall,Branch Office,Warning
57,55,76,3.02,69,Switch,Branch Office,Critical
78,60,112,0.39,76,Switch,HQ,Critical
43,85,90,2.55,76,Switch,Datacenter,Warning
50,58,107,2.54,95,Router,Branch Office,Critical
73,24,47,1.17,83,Firewall,Branch Office,Warning
37,86,85,2.54,12,Router,Datacenter,Warning
61,77,66,1.84,67,Switch,Datacenter,Warning
48,65,81,1.73,46,Router,HQ,Warning
38,94,120,4.9,51,Switch,Branch Office,Critical
26,27,27,0.2,45,Switch,Datacenter,Healthy
89,51,87,3.26,55,Router,Branch Office,Critical
61,72,15,3.73,84,Router,HQ,Critical
8,59,67,4.19,79,Router,Branch Office,Critical
52,52,11,1.82,11,Firewall,Datacenter,Warning
87,55,97,0.77,55,Switch,Datacenter,Critical
75,41,56,0.91,99,Firewall,Branch Office,Warning
5,64,98,2.56,23,Router,HQ,Critical
23,70,19,3.69,82,Router,HQ,Critical
77,37,52,2.31,17,Router,HQ,Warning
85,46,76,0.37,42,Switch,Datacenter,Warning
63,61,59,3.74,79,Firewall,HQ,Critical
39,67,25,3.36,42,Router,Datacenter,Critical
38,30,38,2.64,28,Router,HQ,Warning
26,73,74,1.05,68,Firewall,HQ,Warning
39,58,17,4.79,79,Router,Branch Office,Critical
35,89,84,3.58,22,Switch,HQ,Critical
24,27,5,2.35,61,Switch,Branch Office,Warning
